what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1316559619220
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1316559619226
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1316559619227
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1316559619245
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1316559619249
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1316559619259
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1316559619265
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1316559619272
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1316559619276
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1316559619285
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1316559619305
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1316559619316
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1316559619323
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1316559619331
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1316559619343
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1316559619347
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1316559619349
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1316559619358
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1316559619368
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1316559619375
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1316559619375
started,bundle,com.collabnet.ee.tracker.core,3.0.0,"com.collabnet.ee.tracker.core",1316559619382
started,bundle,com.collabnet.ee.tracker.ui,3.0.0,"com.collabnet.ee.tracker.ui",1316559619382
started,bundle,com.collabnet.issuezilla.mylyn.core,3.0.2,"com.collabnet.issuezilla.mylyn.core",1316559619383
started,bundle,com.collabnet.issuezilla.mylyn.ui,3.0.0,"com.collabnet.issuezilla.mylyn.ui",1316559619389
started,bundle,com.collabnet.tracker.mylyn.core,3.0.0,"com.collabnet.tracker.mylyn.core",1316559619389
started,bundle,com.collabnet.tracker.mylyn.ui,3.0.0,"com.collabnet.tracker.mylyn.ui",1316559619396
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1316559619405
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1316559619416
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1316559619424
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1316559619424
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1316559619431
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1316559619432
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1316559619443
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1316559619449
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1316559619466
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1316559619474
os,sysinfo,,,"macosx",1316559619476
arch,sysinfo,,,"x86",1316559619476
ws,sysinfo,,,"cocoa",1316559619476
locale,sysinfo,,,"en_US",1316559619476
processors,sysinfo,,,"4",1316559619476
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316559619476
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1316559619476
java.specification.name,sysinfo,,,"Java Platform API Specification",1316559619476
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316559619476
java.specification.version,sysinfo,,,"1.6",1316559619476
java.vendor,sysinfo,,,"Apple Inc.",1316559619476
java.version,sysinfo,,,"1.6.0_26",1316559619476
java.vm.info,sysinfo,,,"mixed mode",1316559619476
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316559619476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316559619476
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316559619476
java.vm.specification.version,sysinfo,,,"1.0",1316559619476
java.vm.vendor,sysinfo,,,"Apple Inc.",1316559619476
java.vm.version,sysinfo,,,"20.1-b02-384",1316559619476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559619684
started,bundle,com.collabnet.subversion,3.0.0,"com.collabnet.subversion",1316559619845
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1316559619877
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1316559619908
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1316559619916
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1316559619958
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316559620641
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1316559620656
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1316559620682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559628773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559654087
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1316559654089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559663523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559664778
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1316559664868
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1316559665545
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316559665560
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1316559665569
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1316559665579
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1316559665579
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1316559665591
stopped,bundle,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef",1316559665618
stopped,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1316559665628
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1316559665638
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1316559665645
stopped,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1316559665646
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1316559665646
